N dataset population_size generations cross_validation cv_folds fitness accuracy time
0 dna.scale 1 1 False 10 0.90893763 92.5 2.855452
1 dna.scale 1 2 False 10 0.90893763 92.5 3.927567
2 dna.scale 1 3 False 10 0.94603705 96.16666666666667 11.034594
3 dna.scale 1 4 False 10 0.8549747 88.66666666666667 31.471305
4 dna.scale 1 5 False 10 0.91652614 95.0 36.139277
5 dna.scale 2 1 False 10 0.88701516 96.0 316.239766
6 dna.scale 2 2 False 10 0.7925801 82.5 163.774385
7 dna.scale 2 3 False 10 0.90893763 92.5 281.563852
8 dna.scale 2 4 False 10 0.9418213 96.0 455.411647
9 dna.scale 2 5 False 10 0.93086004 94.66666666666667 81.224678
10 dna.scale 3 1 False 10 0.93338954 22.166666666666668 336.669768
11 dna.scale 3 2 False 10
