N dataset population_size generations cross_validation cv_folds fitness accuracy time
0 iris.scale 1 1 False 10 0.9666667 100.0 0.343748
1 iris.scale 1 2 False 10 0.9666667 93.33333333333333 0.345954
2 iris.scale 1 3 False 10 0.9666667 100.0 0.322126
3 iris.scale 1 4 False 10 0.9666667 100.0 0.440860
4 iris.scale 1 5 False 10 0.9666667 100.0 0.394153
5 iris.scale 2 1 False 10 0.9666667 100.0 7.861709
6 iris.scale 2 2 False 10 0.9666667 100.0 8.867015
7 iris.scale 2 3 False 10 0.9666667 100.0 11.342905
8 iris.scale 2 4 False 10 0.9666667 100.0 13.175323
9 iris.scale 2 5 False 10 0.9666667 100.0 8.929975
10 iris.scale 3 1 False 10 0.9666667 100.0 6.757892
11 iris.scale 3 2 False 10 0.9666667 96.66666666666667 0.389360
12 iris.scale 3 3 False 10 0.9666667 83.33333333333334 0.589002
13 iris.scale 3 4 False 10 0.9666667 100.0 0.535032
14 iris.scale 3 5 False 10 0.9666667 100.0 0.627075
15 iris.scale 4 1 False 10 0.9666667 100.0 7.924825
16 iris.scale 4 2 False 10 0.9666667 100.0 20.905440
17 iris.scale 4 3 False 10 0.9666667 100.0 3.097223
18 iris.scale 4 4 False 10 0.9666667 100.0 9.460237
19 iris.scale 4 5 False 10 0.9666667 100.0 5.580878
20 iris.scale 5 1 False 10 0.9666667 100.0 4.719489
21 iris.scale 5 2 False 10 0.9666667 100.0 0.964515
22 iris.scale 5 3 False 10 0.9666667 76.66666666666667 8.114654
23 iris.scale 5 4 False 10 0.9666667 100.0 24.228587
24 iris.scale 5 5 False 10 0.9666667 100.0 12.138618
25 iris.scale 6 1 False 10 0.9666667 100.0 8.051454
26 iris.scale 6 2 False 10 0.9666667 100.0 7.805705
27 iris.scale 6 3 False 10 0.9666667 100.0 21.324727
28 iris.scale 6 4 False 10 0.9666667 96.66666666666667 1.002004
29 iris.scale 6 5 False 10 0.9666667 100.0 9.133717
30 iris.scale 7 1 False 10 0.9666667 100.0 8.705894
31 iris.scale 7 2 False 10 0.9666667 86.66666666666667 7.817051
32 iris.scale 7 3 False 10 0.9666667 100.0 12.978928
33 iris.scale 7 4 False 10 0.9666667 70.0 26.718946
34 iris.scale 7 5 False 10 0.9666667 100.0 8.945333
35 iris.scale 8 1 False 10 0.9666667 96.66666666666667 15.474891
36 iris.scale 8 2 False 10 0.9666667 100.0 34.642458
37 iris.scale 8 3 False 10 0.9666667 96.66666666666667 12.730458
38 iris.scale 8 4 False 10 0.9666667 100.0 6.814789
39 iris.scale 8 5 False 10 0.9666667 96.66666666666667 58.472515
40 iris.scale 9 1 False 10 0.9666667 100.0 15.787199
41 iris.scale 9 2 False 10 0.9666667 100.0 0.475230
42 iris.scale 9 3 False 10 0.9666667 100.0 45.032831
