N dataset population_size generations cross_validation cv_folds fitness accuracy time
0 iris.scale 1 3 False 10 0.9666667 100.0 0.322126
1 iris.scale 2 3 False 10 0.9666667 100.0 11.342905
2 iris.scale 3 3 False 10 0.9666667 83.33333333333334 0.589002
3 iris.scale 4 3 False 10 0.9666667 100.0 3.097223
4 iris.scale 5 3 False 10 0.9666667 76.66666666666667 8.114654
5 iris.scale 6 3 False 10 0.9666667 100.0 21.324727
6 iris.scale 7 3 False 10 0.9666667 100.0 12.978928
7 iris.scale 8 3 False 10 0.9666667 96.66666666666667 12.730458
8 iris.scale 9 3 False 10 0.9666667 100.0 45.032831
9 iris.scale 10 3 False 10 0.9666667 100.0 0.807634
10 iris.scale 11 3 False 10 0.9666667 80.0 9.417469
11 iris.scale 12 3 False 10 0.9666667 73.33333333333333 42.243424
12 iris.scale 13 3 False 10 0.9666667 100.0 6.142451
13 iris.scale 14 3 False 10 0.9666667 100.0 9.950509
14 iris.scale 15 3 False 10 0.9666667 96.66666666666667 9.972123
15 iris.scale 16 3 False 10 0.9666667 100.0 5.862952
16 iris.scale 17 3 False 10 0.9666667 100.0 11.176727
17 iris.scale 18 3 False 10 0.9666667 100.0 26.050421
18 iris.scale 19 3 False 10 0.9666667 100.0 6.249908
19 iris.scale 20 3 False 10 0.9666667 100.0 22.152434
