N dataset population_size generations cross_validation cv_folds fitness0 accuracy0 fitness1 accuracy1 fitness2 accuracy2 fitness3 accuracy3 fitness4 accuracy4 mean_fitness mean_accuracy time
1 dna.scale 1 1 False 10 0.54399997 49.4 0.594 61.8 0.88 89.2 0.93799996 95.0 0.86600006 85.0 0.764400 76.080000 2.359960
2 dna.scale 1 3 False 10 0.94600004 92.2 0.89400005 90.60000000000001 0.906 93.4 0.93799996 95.19999999999999 0.594 60.0 0.855600 86.280000 26.107006
3 dna.scale 1 5 False 10 0.92999995 90.4 0.916 93.2 0.904 93.0 0.682 62.0 0.594 60.0 0.805200 79.720000 7.015090
4 dna.scale 11 1 False 10 0.94600004 92.2 1.0 91.8 0.882 89.2 1.0 56.39999999999999 0.956 90.0 0.956800 83.920000 196.850329
5 dna.scale 11 3 False 10 0.94799995 92.0 0.916 91.8 0.92999995 95.19999999999999 1.0 56.39999999999999 0.952 90.8 0.949200 85.240000 390.176031
6 dna.scale 11 5 False 10 1.0 74.8 0.934 93.8 0.92200005 92.60000000000001 0.926 92.4 0.954 89.60000000000001 0.947200 88.640000 447.064841
7 dna.scale 21 1 False 10 0.94600004 92.2 0.936 93.8 0.93799996 95.19999999999999 0.94200003 94.39999999999999 0.95 90.8 0.942400 93.280000 143.496932
8 dna.scale 21 3 False 10 1.0 24.4 0.93799996 94.6 1.0 92.80000000000001 0.956 94.0 0.954 89.60000000000001 0.969600 79.080000 396.444681
9 dna.scale 21 5 False 10 0.958 93.0 0.936 94.19999999999999 0.94 95.0 1.0 63.800000000000004 1.0 60.0 0.966800 81.200000 551.614146
10 dna.scale 31 1 False 10 0.954 93.2 0.93799996 94.39999999999999 1.0 94.8 1.0 66.60000000000001 0.954 89.60000000000001 0.969200 87.720000 215.565094
11 dna.scale 31 3 False 10 0.94799995 91.8 1.0 54.6 1.0 58.199999999999996 0.94799995 93.60000000000001 1.0 55.800000000000004 0.979200 70.800000 318.745087
12 dna.scale 31 5 False 10 
