N dataset population_size n.o.generations cross_validation cv_folds fitness accuracy time
1 iris.scale 1 1 False 10 0.93333334 100.0 0.559202
2 iris.scale 1 3 False 10 0.93333334 100.0 0.707695
3 iris.scale 1 5 False 10 0.9666667 100.0 0.658284
4 iris.scale 21 1 False 10 0.9666667 96.66666666666667 1.117260
5 iris.scale 21 3 False 10 0.9666667 100.0 1.687005
6 iris.scale 21 5 False 10 0.9666667 100.0 75.553616
7 iris.scale 41 1 False 10 0.9666667 100.0 30.224422
8 iris.scale 41 3 False 10 0.9666667 100.0 42.969192
9 iris.scale 41 5 False 10 0.9666667 100.0 42.697374
10 iris.scale 61 1 False 10 0.9666667 100.0 7.286340
11 iris.scale 61 3 False 10 0.9666667 100.0 40.681785
12 iris.scale 61 5 False 10 0.9666667 100.0 30.463224
13 iris.scale 81 1 False 10 0.9666667 100.0 2.226603
14 iris.scale 81 3 False 10 0.9666667 96.66666666666667 52.030132
15 iris.scale 81 5 False 10 0.9666667 100.0 75.732611
16 iris.scale 101 1 False 10 0.9666667 100.0 17.296516
17 iris.scale 101 3 False 10 0.9666667 100.0 39.265091
18 iris.scale 101 5 False 10 0.9666667 96.66666666666667 59.120878
