N dataset population_size generations cross_validation cv_folds fitness0 accuracy0 fitness1 accuracy1 fitness2 accuracy2 fitness3 accuracy3 fitness4 accuracy4 fitness5 accuracy5 fitness6 accuracy6 fitness7 accuracy7 fitness8 accuracy8 fitness9 accuracy9 mean_fitness mean_accuracy time
0 iris.scale 1 1 False 10 0.91891897 94.5945945945946 1.0 97.2972972972973 0.945946 97.2972972972973 1.0 97.2972972972973 0.945946 100.0 0.8648649 94.5945945945946 0.35135135 37.83783783783784 0.972973 94.5945945945946 0.972973 94.5945945945946 0.972973 97.2972972972973 0.894595 90.540541 0.322256
1 iris.scale 11 1 False 10 0.945946 94.5945945945946 1.0 97.2972972972973 0.945946 97.2972972972973 1.0 94.5945945945946 1.0 97.2972972972973 0.972973 97.2972972972973 1.0 97.2972972972973 0.972973 94.5945945945946 0.972973 94.5945945945946 0.972973 89.1891891891892 0.978378 95.405405 8.464357
2 iris.scale 21 1 False 10 0.91891897 94.5945945945946 1.0 97.2972972972973 0.972973 97.2972972972973 1.0 94.5945945945946 1.0 100.0 0.972973 97.2972972972973 1.0 97.2972972972973 1.0 94.5945945945946 0.972973 100.0 0.972973 97.2972972972973 0.981081 97.027027 7.369896
3 iris.scale 31 1 False 10 0.945946 94.5945945945946 1.0 97.2972972972973 0.945946 97.2972972972973 1.0 94.5945945945946 1.0 81.08108108108108 0.972973 97.2972972972973 1.0 83.78378378378379 1.0 94.5945945945946 0.972973 94.5945945945946 0.972973 97.2972972972973 0.981081 93.243243 11.171704
4 iris.scale 41 1 False 10 0.945946 94.5945945945946 1.0 97.2972972972973 0.945946 97.2972972972973 1.0 94.5945945945946 1.0 97.2972972972973 0.972973 97.2972972972973 1.0 91.8918918918919 0.972973 94.5945945945946 0.972973 94.5945945945946 0.972973 97.2972972972973 0.978378 95.675676 9.726028
5 iris.scale 51 1 False 10 0.945946 94.5945945945946 1.0 97.2972972972973 0.972973 97.2972972972973 1.0 89.1891891891892 1.0 97.2972972972973 0.972973 97.2972972972973 1.0 91.8918918918919 1.0 94.5945945945946 0.972973 94.5945945945946 1.0 97.2972972972973 0.986487 95.135135 13.782317
6 iris.scale 61 1 False 10 0.945946 94.5945945945946 1.0 100.0 0.972973 94.5945945945946 1.0 94.5945945945946 1.0 97.2972972972973 0.972973 97.2972972972973 1.0 97.2972972972973 0.972973 97.2972972972973 0.972973 94.5945945945946 1.0 100.0 0.983784 96.756757 14.128731
7 iris.scale 71 1 False 10 0.945946 94.5945945945946 1.0 100.0 0.972973 86.48648648648648 1.0 94.5945945945946 1.0 97.2972972972973 1.0 97.2972972972973 1.0 97.2972972972973 1.0 94.5945945945946 0.972973 94.5945945945946 1.0 97.2972972972973 0.989189 95.405405 12.043945
8 iris.scale 81 1 False 10 0.945946 94.5945945945946 1.0 97.2972972972973 0.972973 97.2972972972973 1.0 94.5945945945946 1.0 97.2972972972973 0.972973 97.2972972972973 1.0 97.2972972972973 0.972973 97.2972972972973 0.972973 94.5945945945946 1.0 97.2972972972973 0.983784 96.486486 10.038603
9 iris.scale 91 1 False 10 0.945946 94.5945945945946 1.0 97.2972972972973 0.972973 97.2972972972973 1.0 89.1891891891892 1.0 100.0 1.0 97.2972972972973 1.0 97.2972972972973 1.0 94.5945945945946 0.972973 94.5945945945946 1.0 100.0 0.989189 96.216216 10.527012
10 iris.scale 101 1 False 10 0.945946 94.5945945945946 1.0 97.2972972972973 0.972973 97.2972972972973 1.0 91.8918918918919 1.0 97.2972972972973 1.0 54.054054054054056 1.0 91.8918918918919 1.0 94.5945945945946 0.972973 94.5945945945946 1.0 97.2972972972973 0.989189 91.081081 14.033821
