N dataset population_size generations cross_validation cv_folds fitness accuracy time
0 iris.scale 1 3 False 10 0.9666667 100.0 0.365567
1 iris.scale 2 3 False 10 0.9666667 100.0 12.841076
2 iris.scale 3 3 False 10 0.9666667 100.0 0.420698
3 iris.scale 4 3 False 10 0.9666667 96.66666666666667 9.192978
4 iris.scale 5 3 False 10 0.9666667 100.0 0.533540
5 iris.scale 6 3 False 10 0.9666667 100.0 3.487805
6 iris.scale 7 3 False 10 0.9666667 100.0 13.505484
7 iris.scale 8 3 False 10 0.9666667 100.0 16.035056
8 iris.scale 9 3 False 10 0.9666667 100.0 24.038694
9 iris.scale 10 3 False 10 0.9666667 100.0 20.626212
10 iris.scale 11 3 False 10 0.9666667 100.0 10.434981
11 iris.scale 12 3 False 10 0.9666667 100.0 30.280438
12 iris.scale 13 3 False 10 0.9666667 100.0 13.578593
13 iris.scale 14 3 False 10 0.9666667 100.0 9.443411
14 iris.scale 15 3 False 10 0.9666667 100.0 10.939730
