N dataset population_size generations cross_validation cv_folds fitness accuracy time
0 iris.scale 1 4 False 10 0.9666667 100.0 0.440860
1 iris.scale 2 4 False 10 0.9666667 100.0 13.175323
2 iris.scale 3 4 False 10 0.9666667 100.0 0.535032
3 iris.scale 4 4 False 10 0.9666667 100.0 9.460237
4 iris.scale 5 4 False 10 0.9666667 100.0 24.228587
5 iris.scale 6 4 False 10 0.9666667 96.66666666666667 1.002004
6 iris.scale 7 4 False 10 0.9666667 70.0 26.718946
7 iris.scale 8 4 False 10 0.9666667 100.0 6.814789
8 iris.scale 9 4 False 10 0.9666667 100.0 7.537911
9 iris.scale 10 4 False 10 1.0 100.0 0.612689
10 iris.scale 11 4 False 10 0.9666667 100.0 24.973234
11 iris.scale 12 4 False 10 0.9666667 100.0 27.846707
12 iris.scale 13 4 False 10 0.9666667 100.0 58.558550
13 iris.scale 14 4 False 10 0.9666667 96.66666666666667 9.383374
14 iris.scale 15 4 False 10 0.9666667 100.0 9.111060
15 iris.scale 16 4 False 10 0.9666667 100.0 34.511694
16 iris.scale 17 4 False 10 0.9666667 80.0 17.530409
17 iris.scale 18 4 False 10 0.9666667 100.0 16.965427
18 iris.scale 19 4 False 10 0.9666667 76.66666666666667 17.224886
19 iris.scale 20 4 False 10 0.9666667 100.0 29.822987
