dataset population_size generations cros_validation cv_folds fitness accuracy time
dna.scale 1 1 False 10 0.60118043 63.0 8.711180
dna.scale 1 3 False 10 0.88195616 87.83333333333333 9.961040
dna.scale 1 5 False 10 0.8853289 92.33333333333333 13.422359
dna.scale 21 1 False 10 0.9435076 96.66666666666667 238.715710
dna.scale 21 3 False 10 0.9468802 96.33333333333334 829.669668
dna.scale 21 5 False 10 0.9435076 96.5 1724.333576
dna.scale 41 1 False 10 0.9443507 96.16666666666667 635.408909
dna.scale 41 3 False 10 0.9451939 93.66666666666667 888.021092
dna.scale 41 5 False 10 0.94603705 96.33333333333334 1666.393285
dna.scale 61 1 False 10 0.9443507 95.83333333333334 917.211082
dna.scale 61 3 False 10 0.94603705 96.16666666666667 1482.915323
dna.scale 61 5 False 10 0.94772345 96.0 2464.720796
dna.scale 81 1 False 10 0.94603705 96.16666666666667 525.651002
dna.scale 81 3 False 10 0.94603705 96.66666666666667 1824.020680
dna.scale 81 5 False 10 1.0 57.833333333333336 401.734380
dna.scale 101 1 False 10 0.9451939 95.83333333333334 663.587566
dna.scale 101 3 False 10 0.9485666 96.0 2804.492747
dna.scale 101 5 False 10 0.94772345 96.33333333333334 4068.801783
