N dataset population_size generations cross_validation cv_folds fitness0 accuracy0 fitness1 accuracy1 fitness2 accuracy2 fitness3 accuracy3 fitness4 accuracy4 fitness5 accuracy5 fitness6 accuracy6 fitness7 accuracy7 fitness8 accuracy8 fitness9 accuracy9 mean_fitness mean_accuracy time
1 vowel.scale 1 1 False 10 0.81060606 67.42424242424242 0.87878793 87.87878787878788 0.68939394 73.48484848484848 0.22727272 28.78787878787879 0.121212125 15.151515151515152 0.5984849 56.060606060606055 0.7045455 67.42424242424242 0.7121212 62.121212121212125 0.8257576 87.87878787878788 0.39393938 37.878787878787875 0.596212 58.409091 0.832559
2 vowel.scale 1 3 False 10 0.7045455 60.60606060606061 0.13636364 12.121212121212121 0.81060606 83.33333333333334 0.939394 90.15151515151516 0.6818182 54.54545454545454 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.654545 60.151515 0.935654
3 vowel.scale 1 5 False 10 0.18939394 18.939393939393938 0.88636357 87.12121212121212 0.33333334 29.545454545454547 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.469697 45.202020 1.197829
4 vowel.scale 11 1 False 10 0.969697 90.15151515151516 0.9166666 88.63636363636364 0.96212125 96.96969696969697 0.9545454 90.9090909090909 0.939394 93.93939393939394 0.9545454 91.66666666666666 0.8333333 85.60606060606061 0.9090909 90.9090909090909 0.9166666 91.66666666666666 0.88636357 88.63636363636364 0.924242 90.909091 12.937493
5 vowel.scale 11 3 False 10 0.9545454 87.12121212121212 0.9166666 92.42424242424242 0.9318181 94.6969696969697 0.8560606 80.3030303030303 0.9469697 93.93939393939394 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.921212 89.696970 39.805609
6 vowel.scale 11 5 False 10 0.9772727 92.42424242424242 0.9242424 87.87878787878788 0.9242424 90.15151515151516 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.941919 90.151515 79.929898
7 vowel.scale 21 1 False 10 0.9772727 92.42424242424242 0.88636357 87.12121212121212 0.9242424 96.21212121212122 0.939394 88.63636363636364 0.9545454 95.45454545454545 0.9166666 91.66666666666666 0.87878793 81.81818181818183 0.9318181 93.18181818181817 0.9166666 91.66666666666666 0.9015151 88.63636363636364 0.922727 90.681818 149.243003
8 vowel.scale 21 3 False 10 0.969697 90.9090909090909 0.8939394 86.36363636363636 0.939394 93.93939393939394 0.9772727 98.48484848484848 0.969697 96.96969696969697 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.950000 93.333333 137.677417
9 vowel.scale 21 5 False 10 0.9772727 90.9090909090909 0.9242424 93.18181818181817 0.9469697 93.18181818181817 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.949495 92.424242 90.044692
10 vowel.scale 31 1 False 10 0.9772727 87.12121212121212 0.9090909 85.60606060606061 0.96212125 96.96969696969697 0.9772727 98.48484848484848 0.939394 92.42424242424242 0.8712121 87.12121212121212 0.9166666 89.39393939393939 0.9090909 90.9090909090909 0.96212125 96.21212121212122 0.8939394 87.12121212121212 0.931818 91.136364 162.518372
11 vowel.scale 31 3 False 10 0.969697 87.12121212121212 0.87878793 87.87878787878788 0.939394 93.93939393939394 0.9469697 94.6969696969697 0.939394 92.42424242424242 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.934849 91.212121 185.230706
12 vowel.scale 31 5 False 10 0.9772727 90.9090909090909 0.9242424 88.63636363636364 0.939394 12.878787878787879 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.946970 64.141414 109.998399
13 vowel.scale 41 1 False 10 0.969697 87.12121212121212 0.9090909 92.42424242424242 0.9469697 93.93939393939394 0.96212125 94.6969696969697 0.96212125 94.6969696969697 0.8939394 90.15151515151516 0.9166666 89.39393939393939 0.9242424 94.6969696969697 0.9772727 100.0 0.9015151 87.87878787878788 0.936364 92.500000 59.885578
14 vowel.scale 41 3 False 10 0.969697 87.12121212121212 0.9242424 92.42424242424242 0.9469697 93.93939393939394 0.9772727 96.21212121212122 0.969697 95.45454545454545 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.957576 93.030303 302.816529
15 vowel.scale 41 5 False 10 0.969697 89.39393939393939 0.9318181 88.63636363636364 0.939394 93.93939393939394 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.946970 90.656566 136.829208
16 vowel.scale 51 1 False 10 0.969697 90.15151515151516 0.9242424 93.18181818181817 0.96212125 96.21212121212122 0.99242425 95.45454545454545 0.969697 95.45454545454545 0.9469697 90.9090909090909 0.9242424 89.39393939393939 0.9090909 90.9090909090909 0.969697 97.72727272727273 0.9242424 89.39393939393939 0.949242 92.878788 151.739577
17 vowel.scale 51 3 False 10 0.969697 89.39393939393939 0.9242424 92.42424242424242 0.939394 93.93939393939394 0.99242425 95.45454545454545 0.9772727 96.21212121212122 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.960606 93.484848 79.288845
18 vowel.scale 51 5 False 10 0.9772727 89.39393939393939 0.9242424 93.18181818181817 0.9545454 93.18181818181817 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.952020 91.919192 281.933650
19 vowel.scale 61 1 False 10 0.96212125 86.36363636363636 0.9090909 85.60606060606061 0.939394 93.93939393939394 0.98484844 96.96969696969697 0.9545454 95.45454545454545 0.9469697 90.9090909090909 0.9166666 89.39393939393939 0.939394 94.6969696969697 0.969697 99.24242424242425 0.9166666 89.39393939393939 0.943939 92.196970 208.344489
20 vowel.scale 61 3 False 10 0.96212125 90.15151515151516 0.9242424 93.18181818181817 0.969697 95.45454545454545 0.96212125 89.39393939393939 0.9469697 93.18181818181817 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.953030 92.272727 200.981286
21 vowel.scale 61 5 False 10 0.9772727 91.66666666666666 0.9166666 88.63636363636364 0.969697 74.24242424242425 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.954545 84.848485 268.753089
22 vowel.scale 71 1 False 10 0.96212125 87.87878787878788 0.9242424 93.18181818181817 0.939394 93.93939393939394 0.969697 91.66666666666666 0.9469697 94.6969696969697 0.9545454 91.66666666666666 0.9166666 89.39393939393939 0.939394 94.6969696969697 0.96212125 97.72727272727273 0.9166666 89.39393939393939 0.943182 92.424242 220.531642
23 vowel.scale 71 3 False 10 0.9772727 94.6969696969697 0.9242424 93.18181818181817 0.969697 95.45454545454545 0.99242425 95.45454545454545 0.969697 95.45454545454545 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.966667 94.848485 195.230540
24 vowel.scale 71 5 False 10 0.98484844 92.42424242424242 0.9318181 90.9090909090909 0.9545454 93.93939393939394 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.957071 92.424242 644.723706
