N dataset population_size generations cross_validation cv_folds fitness0 accuracy0 fitness1 accuracy1 fitness2 accuracy2 fitness3 accuracy3 fitness4 accuracy4 mean_fitness mean_accuracy time
0 vowel.scale 1 4 False 10 0.8712121 87.12121212121212 0.14393939 15.151515151515152 0.72727275 67.42424242424242 0.8333333 78.03030303030303 0.84090906 85.60606060606061 0.683333 66.666667 0.572938
1 vowel.scale 3 4 False 10 0.6515151 63.63636363636363 0.7348485 70.45454545454545 0.9242424 90.9090909090909 0.8560606 81.06060606060606 0.7121212 79.54545454545455 0.775758 77.121212 0.889824
2 vowel.scale 5 4 False 10 0.9015151 89.39393939393939 0.9469697 93.18181818181817 0.8181818 81.06060606060606 0.9166666 87.12121212121212 0.8030303 83.33333333333334 0.877273 86.818182 42.435277
3 vowel.scale 7 4 False 10 0.9015151 89.39393939393939 0.9545454 93.18181818181817 0.9166666 87.12121212121212 0.9469697 87.87878787878788 0.88636357 93.93939393939394 0.921212 90.303030 16.612286
4 vowel.scale 9 4 False 10 0.8030303 71.21212121212122 0.7121212 75.75757575757575 0.57575756 53.03030303030303 0.5833333 40.15151515151515 0.8484848 62.121212121212125 0.704545 60.454545 38.325606
5 vowel.scale 11 4 False 10 0.9090909 90.15151515151516 0.7121212 52.27272727272727 0.72727275 71.96969696969697 0.8333333 66.66666666666666 0.9015151 93.93939393939394 0.816667 75.000000 41.930117
6 vowel.scale 13 4 False 10 0.9242424 74.24242424242425 0.9469697 93.18181818181817 0.9166666 71.21212121212122 0.9242424 87.12121212121212 0.9015151 93.18181818181817 0.922727 83.787879 43.694266
7 vowel.scale 15 4 False 10 0.87878793 85.60606060606061 0.9469697 8.333333333333332 0.87878793 49.24242424242424 0.96212125 19.696969696969695 0.84090906 68.18181818181817 0.901515 46.212121 47.007599
8 vowel.scale 17 4 False 10 0.9166666 90.15151515151516 0.939394 93.18181818181817 0.9242424 87.12121212121212 0.9469697 87.87878787878788 0.9166666 68.93939393939394 0.928788 85.454545 53.143405
9 vowel.scale 19 4 False 10 0.9318181 93.18181818181817 0.96212125 95.45454545454545 0.9469697 92.42424242424242 0.9090909 81.81818181818183 0.9015151 62.121212121212125 0.930303 85.000000 56.528048
10 vowel.scale 21 4 False 10 0.939394 91.66666666666666 1.0 96.96969696969697 0.9242424 78.03030303030303 0.9242424 28.78787878787879 0.88636357 93.93939393939394 0.934848 77.878788 38.974391
