'dataset' 'population_size' 'generations' 'cross_validation' 'cv_folds' 'fitness' 'accuracy' 'time'
vowel.scale 1 1 False 10 0.4597701 41.77489177489178 1.222687
vowel.scale 1 3 False 10 0.7356322 49.134199134199136 1.166893
vowel.scale 1 5 False 10 0.68390805 50.649350649350644 1.287704
vowel.scale 21 1 False 10 0.954023 60.17316017316018 18.312861
vowel.scale 21 3 False 10 0.954023 60.60606060606061 41.882721
vowel.scale 21 5 False 10 0.9712643 54.54545454545454 90.457476
vowel.scale 41 1 False 10 0.95977014 57.14285714285714 31.931341
vowel.scale 41 3 False 10 0.9770115 57.35930735930735 331.034223
vowel.scale 41 5 False 10 0.95977014 60.17316017316018 77.968189
vowel.scale 61 1 False 10 0.9655173 56.493506493506494 325.210393
vowel.scale 61 3 False 10 0.95977014 58.658008658008654 71.720209
vowel.scale 61 5 False 10 0.9712643 63.63636363636363 443.245980
vowel.scale 81 1 False 10 0.9655173 62.98701298701299 408.987378
vowel.scale 81 3 False 10 0.9655173 55.84415584415584 376.794056
vowel.scale 81 5 False 10 0.9712643 62.33766233766234 312.530944
vowel.scale 101 1 False 10 0.9655173 63.85281385281385 517.243880
vowel.scale 101 3 False 10 0.9712643 57.7922077922078 103.762845
vowel.scale 101 5 False 10 0.9827586 61.25541125541125 132.873656
