N dataset population_size generations cross_validation cv_folds fitness accuracy time
1 dna.scale 1 1 False 10 0.9435076 96.16666666666667 6.233750
2 dna.scale 1 2 False 10 0.94013494 96.0 10.060099
3 dna.scale 1 3 False 10 0.5649241 57.666666666666664 9.432849
4 dna.scale 1 4 False 10 0.9350759 95.0 11.396245
5 dna.scale 3 1 False 10 0.9291737 95.66666666666667 11.680600
6 dna.scale 3 2 False 10 0.9418213 96.0 558.477148
7 dna.scale 3 3 False 10 0.9451939 96.16666666666667 784.826314
8 dna.scale 3 4 False 10 0.92327154 93.16666666666666 463.918514
9 dna.scale 5 1 False 10 0.90893763 92.5 78.744013
10 dna.scale 5 2 False 10 
