N dataset population_size generations cross_validation cv_folds fitness0 accuracy0 fitness1 accuracy1 fitness2 accuracy2 mean_fitness mean_accuracy time
1 iris.scale 1 1 False 10 1.0 94.5945945945946 0.972973 94.5945945945946 1.0 94.5945945945946 0.990991 94.594595 0.377889
2 iris.scale 1 2 False 10 1.0 94.5945945945946 1.0 97.2972972972973 1.0 94.5945945945946 1.000000 95.495495 0.385485
3 iris.scale 1 3 False 10 1.0 94.5945945945946 1.0 97.2972972972973 0.945946 86.48648648648648 0.981982 92.792793 0.487848
4 iris.scale 1 4 False 10 1.0 94.5945945945946 0.945946 91.8918918918919 0.6756757 70.27027027027027 0.873874 85.585586 0.476156
5 iris.scale 11 1 False 10 1.0 94.5945945945946 1.0 97.2972972972973 1.0 94.5945945945946 1.000000 95.495495 11.564724
6 iris.scale 11 2 False 10 1.0 94.5945945945946 1.0 94.5945945945946 1.0 97.2972972972973 1.000000 95.495495 3.239934
7 iris.scale 11 3 False 10 1.0 97.2972972972973 1.0 94.5945945945946 1.0 94.5945945945946 1.000000 95.495495 10.579218
8 iris.scale 11 4 False 10 1.0 97.2972972972973 1.0 97.2972972972973 1.0 97.2972972972973 1.000000 97.297297 9.736370
9 iris.scale 21 1 False 10 1.0 94.5945945945946 1.0 94.5945945945946 1.0 97.2972972972973 1.000000 95.495495 7.514908
10 iris.scale 21 2 False 10 1.0 94.5945945945946 1.0 97.2972972972973 1.0 94.5945945945946 1.000000 95.495495 5.366711
11 iris.scale 21 3 False 10 1.0 94.5945945945946 1.0 94.5945945945946 1.0 97.2972972972973 1.000000 95.495495 16.328258
12 iris.scale 21 4 False 10 1.0 91.8918918918919 1.0 97.2972972972973 1.0 97.2972972972973 1.000000 95.495495 11.789391
13 iris.scale 31 1 False 10 1.0 94.5945945945946 1.0 94.5945945945946 1.0 97.2972972972973 1.000000 95.495495 8.666735
14 iris.scale 31 2 False 10 1.0 94.5945945945946 1.0 97.2972972972973 1.0 94.5945945945946 1.000000 95.495495 8.400318
15 iris.scale 31 3 False 10 1.0 94.5945945945946 1.0 94.5945945945946 1.0 94.5945945945946 1.000000 94.594595 6.377596
16 iris.scale 31 4 False 10 1.0 97.2972972972973 1.0 97.2972972972973 1.0 97.2972972972973 1.000000 97.297297 8.122322
17 iris.scale 41 1 False 10 1.0 97.2972972972973 1.0 94.5945945945946 1.0 94.5945945945946 1.000000 95.495495 14.557559
18 iris.scale 41 2 False 10 1.0 97.2972972972973 1.0 89.1891891891892 1.0 94.5945945945946 1.000000 93.693694 20.805595
19 iris.scale 41 3 False 10 1.0 59.45945945945946 1.0 97.2972972972973 1.0 94.5945945945946 1.000000 83.783784 8.352988
20 iris.scale 41 4 False 10 1.0 94.5945945945946 1.0 94.5945945945946 1.0 94.5945945945946 1.000000 94.594595 10.669774
21 iris.scale 51 1 False 10 1.0 94.5945945945946 1.0 97.2972972972973 1.0 97.2972972972973 1.000000 96.396396 15.721908
22 iris.scale 51 2 False 10 1.0 91.8918918918919 1.0 97.2972972972973 1.0 97.2972972972973 1.000000 95.495495 15.081544
23 iris.scale 51 3 False 10 1.0 86.48648648648648 1.0 94.5945945945946 1.0 97.2972972972973 1.000000 92.792793 13.533891
24 iris.scale 51 4 False 10 1.0 94.5945945945946 1.0 94.5945945945946 1.0 97.2972972972973 1.000000 95.495495 9.681166
