N dataset population_size generations cross_validation cv_folds fitness0 accuracy0 fitness1 accuracy1 fitness2 accuracy2 fitness3 accuracy3 mean_fitness mean_accuracy time
1 iris.scale 1 1 False 10 0.945946 89.1891891891892 0.945946 97.2972972972973 0.972973 94.5945945945946 0.945946 97.2972972972973 0.952703 94.594595 0.419764
2 iris.scale 1 2 False 10 0.972973 89.1891891891892 0.945946 97.2972972972973 0.945946 94.5945945945946 0.945946 91.8918918918919 0.952703 93.243243 0.309371
3 iris.scale 1 3 False 10 0.972973 89.1891891891892 0.945946 97.2972972972973 0.945946 94.5945945945946 0.945946 97.2972972972973 0.952703 94.594595 0.355326
4 iris.scale 1 4 False 10 0.972973 89.1891891891892 0.27027026 40.54054054054054 0.972973 91.8918918918919 0.945946 97.2972972972973 0.790541 79.729730 0.385363
5 iris.scale 11 1 False 10 0.972973 91.8918918918919 0.945946 97.2972972972973 0.972973 94.5945945945946 0.972973 97.2972972972973 0.966216 95.270270 6.704334
6 iris.scale 11 2 False 10 0.972973 89.1891891891892 0.972973 94.5945945945946 0.972973 94.5945945945946 0.972973 94.5945945945946 0.972973 93.243243 19.489582
7 iris.scale 11 3 False 10 0.972973 91.8918918918919 0.945946 94.5945945945946 0.972973 97.2972972972973 0.972973 94.5945945945946 0.966216 94.594595 17.003626
8 iris.scale 11 4 False 10 0.972973 89.1891891891892 0.945946 97.2972972972973 0.972973 94.5945945945946 0.972973 94.5945945945946 0.966216 93.918919 43.230398
9 iris.scale 21 1 False 10 0.945946 89.1891891891892 0.972973 94.5945945945946 0.972973 94.5945945945946 0.972973 94.5945945945946 0.966216 93.243243 19.375858
10 iris.scale 21 2 False 10 0.972973 89.1891891891892 0.972973 94.5945945945946 1.0 94.5945945945946 0.972973 91.8918918918919 0.979730 92.567568 44.483399
11 iris.scale 21 3 False 10 0.972973 91.8918918918919 0.945946 97.2972972972973 0.972973 94.5945945945946 0.972973 94.5945945945946 0.966216 94.594595 55.305365
12 iris.scale 21 4 False 10 0.972973 89.1891891891892 0.945946 97.2972972972973 1.0 94.5945945945946 1.0 91.8918918918919 0.979730 93.243243 28.862825
13 iris.scale 31 1 False 10 0.972973 91.8918918918919 0.972973 97.2972972972973 0.972973 94.5945945945946 1.0 94.5945945945946 0.979730 94.594595 27.292352
14 iris.scale 31 2 False 10 0.972973 89.1891891891892 1.0 97.2972972972973 0.972973 86.48648648648648 1.0 91.8918918918919 0.986487 91.216216 34.793341
15 iris.scale 31 3 False 10 0.972973 89.1891891891892 0.945946 94.5945945945946 1.0 94.5945945945946 1.0 91.8918918918919 0.979730 92.567568 34.125740
16 iris.scale 31 4 False 10 0.972973 89.1891891891892 0.972973 97.2972972972973 0.972973 94.5945945945946 1.0 91.8918918918919 0.979730 93.243243 69.301178
17 iris.scale 41 1 False 10 0.972973 89.1891891891892 0.972973 97.2972972972973 0.972973 94.5945945945946 1.0 91.8918918918919 0.979730 93.243243 12.676000
18 iris.scale 41 2 False 10 0.972973 91.8918918918919 0.972973 97.2972972972973 0.972973 94.5945945945946 1.0 91.8918918918919 0.979730 93.918919 9.829290
19 iris.scale 41 3 False 10 0.972973 89.1891891891892 0.972973 97.2972972972973 0.972973 86.48648648648648 1.0 91.8918918918919 0.979730 91.216216 34.826353
20 iris.scale 41 4 False 10 0.972973 91.8918918918919 0.945946 97.2972972972973 0.972973 94.5945945945946 0.972973 94.5945945945946 0.966216 94.594595 27.103377
21 iris.scale 51 1 False 10 0.972973 89.1891891891892 0.972973 97.2972972972973 0.972973 94.5945945945946 1.0 91.8918918918919 0.979730 93.243243 8.302316
22 iris.scale 51 2 False 10 0.972973 89.1891891891892 0.972973 94.5945945945946 0.972973 94.5945945945946 1.0 91.8918918918919 0.979730 92.567568 9.858805
23 iris.scale 51 3 False 10 0.972973 89.1891891891892 0.972973 94.5945945945946 0.972973 94.5945945945946 1.0 91.8918918918919 0.979730 92.567568 20.421797
24 iris.scale 51 4 False 10 0.972973 89.1891891891892 0.972973 97.2972972972973 1.0 94.5945945945946 1.0 91.8918918918919 0.986487 93.243243 13.493432
25 dna.scale 1 1 False 10 0.908 90.4 0.916 90.8 0.926 90.60000000000001 0.92200005 91.2 0.918000 90.750000 3.008968
26 dna.scale 1 2 False 10 0.51600003 52.0 0.91400003 90.2 0.87200004 88.4 0.96199995 95.6 0.816000 81.550000 7.099798
27 dna.scale 1 3 False 10 0.944 93.60000000000001 0.95 93.60000000000001 0.94799995 92.60000000000001 0.92200005 91.2 0.941000 92.750000 7.664578
28 dna.scale 1 4 False 10 0.92800003 91.4 0.254 25.0 0.926 90.60000000000001 0.936 94.19999999999999 0.761000 75.300000 7.453581
29 dna.scale 11 1 False 10 0.95 94.0 0.94 91.8 0.96000004 93.2 0.954 93.2 0.951000 93.050000 317.521357
30 dna.scale 11 2 False 10 0.944 94.0 0.94600004 93.2 0.96000004 94.19999999999999 0.9639999 95.19999999999999 0.953500 94.150000 334.160287
31 dna.scale 11 3 False 10 0.94799995 93.4 0.952 93.8 0.958 94.0 0.9639999 95.39999999999999 0.955500 94.150000 559.431605
32 dna.scale 11 4 False 10 0.94600004 93.60000000000001 0.952 93.8 0.966 93.8 0.9639999 95.19999999999999 0.957000 94.100000 657.915655
33 dna.scale 21 1 False 10 0.952 94.39999999999999 0.94799995 94.0 0.958 93.8 0.956 94.19999999999999 0.953500 94.100000 280.814728
34 dna.scale 21 2 False 10 0.954 94.0 0.944 93.0 0.958 93.8 0.958 95.6 0.953500 94.100000 386.541428
