N dataset population_size generations cross_validation cv_folds fitness0 accuracy0 fitness1 accuracy1 fitness2 accuracy2 fitness3 accuracy3 fitness4 accuracy4 fitness5 accuracy5 fitness6 accuracy6 fitness7 accuracy7 fitness8 accuracy8 fitness9 accuracy9 mean_fitness mean_accuracy time
1 dna.scale 1 1 False 10 0.912 90.8 0.95 95.0 0.91800004 88.6 0.828 78.8 0.83199996 80.60000000000001 0.952 92.60000000000001 0.766 70.6 0.55399996 50.6 0.902 89.2 0.588 58.199999999999996 0.820200 79.500000 2.390580
2 dna.scale 1 3 False 10 0.94200003 94.39999999999999 0.89599997 90.8 0.95 95.39999999999999 0.616 59.599999999999994 0.64199996 61.4 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.809200 80.320000 4.762855
3 dna.scale 1 5 False 10 0.916 92.4 0.94 92.80000000000001 0.89400005 91.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.916667 92.066667 12.362726
4 dna.scale 11 1 False 10 0.90999997 92.2 0.89599997 90.8 0.92 90.0 1.0 93.0 0.93799996 93.8 0.908 88.4 0.958 94.39999999999999 0.94 95.0 0.936 91.60000000000001 0.96000004 92.0 0.936600 92.120000 175.074644
5 dna.scale 11 3 False 10 1.0 56.39999999999999 0.94 93.8 0.94200003 94.6 0.9639999 93.60000000000001 0.934 92.80000000000001 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.956000 86.240000 420.394466
6 dna.scale 11 5 False 10 0.94200003 93.8 0.95 95.19999999999999 1.0 92.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.964000 93.666667 339.716810
7 dna.scale 21 1 False 10 0.94200003 93.8 0.956 96.39999999999999 0.96000004 95.19999999999999 1.0 52.400000000000006 0.952 94.8 1.0 88.6 0.954 94.39999999999999 0.93799996 95.6 0.936 92.4 1.0 85.8 0.963800 88.940000 259.298653
8 dna.scale 21 3 False 10 1.0 89.4 1.0 94.19999999999999 0.958 94.39999999999999 0.9639999 93.8 1.0 93.60000000000001 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.984400 93.080000 252.672291
9 dna.scale 21 5 False 10 0.94799995 95.6 0.956 95.8 1.0 94.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.968000 95.133333 697.426034
10 dna.scale 31 1 False 10 0.95 95.6 0.95 95.19999999999999 0.958 95.39999999999999 1.0 55.800000000000004 0.954 92.0 0.954 92.80000000000001 0.944 94.19999999999999 0.94200003 95.19999999999999 0.96000004 94.0 1.0 57.599999999999994 0.961200 86.780000 316.486241
11 dna.scale 31 3 False 10 
