N dataset population_size generations cross_validation cv_folds fitness0 accuracy0 fitness1 accuracy1 fitness2 accuracy2 fitness3 accuracy3 fitness4 accuracy4 mean_fitness mean_accuracy time
1 vowel.scale 1 1 False 10 0.6515151 63.63636363636363 0.9545454 93.18181818181817 0.28030303 31.818181818181817 0.9166666 86.36363636363636 0.12878788 12.121212121212121 0.586364 57.424242 0.530813
2 vowel.scale 1 2 False 10 0.6515151 63.63636363636363 0.7045455 74.24242424242425 0.57575756 58.333333333333336 0.78787875 69.6969696969697 0.72727275 74.24242424242425 0.689394 68.030303 0.482862
3 vowel.scale 1 3 False 10 0.76515156 75.75757575757575 0.62878793 65.9090909090909 0.56060606 53.78787878787878 0.530303 40.909090909090914 0.78030306 84.0909090909091 0.653030 64.090909 0.566605
4 vowel.scale 1 4 False 10 0.8712121 87.12121212121212 0.14393939 15.151515151515152 0.72727275 67.42424242424242 0.8333333 78.03030303030303 0.84090906 85.60606060606061 0.683333 66.666667 0.572938
5 vowel.scale 1 5 False 10 0.36363637 43.93939393939394 0.3181818 24.242424242424242 0.8030303 78.78787878787878 0.9166666 86.36363636363636 0.44696972 56.81818181818182 0.569697 58.030303 0.599492
6 vowel.scale 1 6 False 10 0.4848485 48.484848484848484 0.62878793 66.66666666666666 0.54545456 53.78787878787878 0.9469697 87.87878787878788 0.22727272 25.757575757575758 0.566667 56.515152 0.648859
7 vowel.scale 1 7 False 10 0.88636357 88.63636363636364 0.9469697 93.18181818181817 0.72727275 67.42424242424242 0.7424242 67.42424242424242 0.88636357 93.93939393939394 0.837879 82.121212 0.759271
8 vowel.scale 3 1 False 10 0.9015151 89.39393939393939 0.7121212 74.24242424242425 0.72727275 67.42424242424242 0.9242424 86.36363636363636 0.6666667 68.18181818181817 0.786364 77.121212 0.650570
9 vowel.scale 3 2 False 10 0.9015151 87.87878787878788 0.7121212 74.24242424242425 0.72727275 67.42424242424242 0.8560606 78.78787878787878 0.6666667 68.93939393939394 0.772727 75.454545 0.781760
10 vowel.scale 3 3 False 10 0.6515151 63.63636363636363 0.719697 75.75757575757575 0.84090906 79.54545454545455 0.9015151 80.3030303030303 0.88636357 93.93939393939394 0.800000 78.636364 0.783114
11 vowel.scale 3 4 False 10 0.6515151 63.63636363636363 0.7348485 70.45454545454545 0.9242424 90.9090909090909 0.8560606 81.06060606060606 0.7121212 79.54545454545455 0.775758 77.121212 0.889824
12 vowel.scale 3 5 False 10 0.8333333 84.0909090909091 0.9545454 94.6969696969697 0.5681818 53.78787878787878 0.7121212 70.45454545454545 0.88636357 93.93939393939394 0.790909 79.393939 15.880229
13 vowel.scale 3 6 False 10 0.9015151 89.39393939393939 0.7575758 76.51515151515152 0.9166666 87.12121212121212 0.8484848 80.3030303030303 0.7575758 78.78787878787878 0.836364 82.424242 1.033200
14 vowel.scale 3 7 False 10 0.76515156 75.0 0.9469697 93.18181818181817 0.9166666 87.12121212121212 0.87878793 75.75757575757575 0.88636357 91.66666666666666 0.878788 84.545455 1.207110
15 vowel.scale 5 1 False 10 0.6515151 63.63636363636363 0.8181818 82.57575757575758 0.9166666 87.12121212121212 0.8712121 77.27272727272727 0.88636357 93.93939393939394 0.828788 80.909091 11.642727
16 vowel.scale 5 2 False 10 0.9015151 89.39393939393939 0.8939394 90.15151515151516 0.9166666 87.12121212121212 0.7575758 76.51515151515152 0.8257576 87.87878787878788 0.859091 86.212121 0.882462
17 vowel.scale 5 3 False 10 0.9015151 89.39393939393939 0.969697 93.93939393939394 0.9166666 87.12121212121212 0.9166666 86.36363636363636 0.67424244 68.18181818181817 0.875758 85.000000 0.973229
18 vowel.scale 5 4 False 10 0.9015151 89.39393939393939 0.9469697 93.18181818181817 0.8181818 81.06060606060606 0.9166666 87.12121212121212 0.8030303 83.33333333333334 0.877273 86.818182 42.435277
19 vowel.scale 5 5 False 10 0.81060606 81.06060606060606 0.9545454 90.9090909090909 0.9166666 87.12121212121212 0.9242424 86.36363636363636 0.78787875 84.84848484848484 0.878788 86.060606 1.217379
20 vowel.scale 5 6 False 10 0.9015151 89.39393939393939 0.9469697 93.18181818181817 0.9166666 86.36363636363636 0.9166666 86.36363636363636 0.8560606 89.39393939393939 0.907576 88.939394 1.244716
21 vowel.scale 5 7 False 10 0.9015151 89.39393939393939 0.969697 95.45454545454545 0.9015151 87.12121212121212 0.9166666 86.36363636363636 0.7954545 81.06060606060606 0.896970 87.878788 1.385967
22 vowel.scale 7 1 False 10 0.9015151 89.39393939393939 0.8636364 83.33333333333334 0.8030303 72.72727272727273 0.9166666 86.36363636363636 0.9166666 94.6969696969697 0.880303 85.303030 12.209375
23 vowel.scale 7 2 False 10 0.77272725 77.27272727272727 0.9545454 93.93939393939394 0.9469697 92.42424242424242 0.9469697 87.87878787878788 0.88636357 93.93939393939394 0.901515 89.090909 1.035424
24 vowel.scale 7 3 False 10 0.8939394 89.39393939393939 0.9469697 92.42424242424242 0.939394 92.42424242424242 0.9469697 87.87878787878788 0.87878793 93.93939393939394 0.921212 91.212121 39.565042
25 vowel.scale 7 4 False 10 0.9015151 89.39393939393939 0.9545454 93.18181818181817 0.9166666 87.12121212121212 0.9469697 87.87878787878788 0.88636357 93.93939393939394 0.921212 90.303030 16.612286
26 vowel.scale 7 5 False 10 0.9015151 89.39393939393939 0.9469697 93.18181818181817 0.9242424 87.12121212121212 0.78787875 69.6969696969697 0.9015151 92.42424242424242 0.892424 86.363636 1.492607
27 vowel.scale 7 6 False 10 0.9090909 92.42424242424242 0.9469697 93.18181818181817 0.9166666 87.12121212121212 0.9469697 87.87878787878788 0.88636357 93.93939393939394 0.921212 90.909091 1.470965
28 vowel.scale 7 7 False 10 0.88636357 84.84848484848484 0.969697 95.45454545454545 0.9166666 87.12121212121212 0.9469697 87.87878787878788 0.88636357 93.93939393939394 0.921212 89.848485 36.166163
29 vowel.scale 9 1 False 10 0.41666666 89.39393939393939 0.7121212 75.0 0.7424242 67.42424242424242 0.78030306 75.75757575757575 0.3181818 68.93939393939394 0.593939 75.303030 10.328049
30 vowel.scale 9 2 False 10 0.9090909 64.39393939393939 0.7121212 74.24242424242425 0.8181818 25.757575757575758 0.9469697 80.3030303030303 0.50757575 58.333333333333336 0.778788 60.606061 23.013698
31 vowel.scale 9 3 False 10 0.9015151 31.060606060606062 0.9545454 89.39393939393939 0.7954545 75.75757575757575 0.8484848 80.3030303030303 0.9015151 71.96969696969697 0.880303 69.696970 29.931540
32 vowel.scale 9 4 False 10 0.8030303 71.21212121212122 0.7121212 75.75757575757575 0.57575756 53.03030303030303 0.5833333 40.15151515151515 0.8484848 62.121212121212125 0.704545 60.454545 38.325606
